letter;weight_I;relative_weight_I;weight_II;relative_weight_II;weight_III;relative_weight_III;weight_IV;relative_weight_IV;total_weight;relative_total_weight;center_y;center_x;relative_center_y;relative_center_x;inertia_y;inertia_x;relative_inertia_y;relative_inertia_x;profile_x;profile_y
а;0.0;0.0;0.0;0.0;104.65882352941176;0.0418635294117647;118.05098039215686;0.047220392156862745;222.7098039215686;0.022270980392156862;74.38974485393813;49.2951524009086;0.7438974485393812;0.492951524009086;6861.98688414106;11604.71132314876;6.86198688414106e-05;0.0001160471132314876;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;5.870588235294117;12.52156862745098;15.964705882352941;17.901960784313726;15.596078431372549;9.454901960784314;7.701960784313726;6.862745098039215;6.415686274509804;6.1686274509803924;6.145098039215687;6.4941176470588236;10.490196078431373;22.227450980392156;22.56078431372549;21.972549019607843;20.066666666666666;3.066666666666667;1.9333333333333333;1.6352941176470588;1.4588235294117646;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.866666666666666;11.513725490196078;9.662745098039215;8.505882352941176;8.435294117647059;8.474509803921569;8.20392156862745;6.756862745098039;5.513725490196078;8.04313725490196;9.066666666666666;8.623529411764705;8.266666666666667;8.113725490196078;8.141176470588235;8.2;8.337254901960785;8.470588235294118;8.898039215686275;11.117647058823529;14.760784313725491;17.29019607843137;13.741176470588234;7.705882352941177;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
б;25.458823529411763;0.010183529411764706;40.56078431372549;0.016224313725490196;127.44313725490196;0.05097725490196078;109.25490196078431;0.04370196078431372;302.7176470588235;0.03027176470588235;60.94364774008006;49.596789864365945;0.6094364774008006;0.4959678986436595;14882.176802072116;34313.477912428825;0.00014882176802072115;0.00034313477912428824;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00392156862745098;10.125490196078431;17.7921568627451;18.949019607843137;20.63137254901961;22.49411764705882;16.105882352941176;11.64313725490196;9.886274509803922;8.901960784313726;8.333333333333334;8.035294117647059;7.984313725490196;8.015686274509804;8.427450980392157;9.04313725490196;10.196078431372548;12.109803921568627;17.16470588235294;22.305882352941175;19.984313725490196;16.88235294117647;12.862745098039216;4.8313725490196076;0.00784313725490196;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8588235294117648;11.788235294117648;14.215686274509803;14.51764705882353;13.074509803921568;4.866666666666666;3.1137254901960785;2.5843137254901962;2.2470588235294118;2.0352941176470587;1.9019607843137254;1.8392156862745097;1.815686274509804;7.882352941176471;12.741176470588234;11.294117647058824;10.035294117647059;9.870588235294118;9.988235294117647;10.105882352941176;10.219607843137254;10.054901960784314;9.972549019607843;9.815686274509805;9.75294117647059;9.525490196078431;9.337254901960785;9.149019607843137;8.831372549019608;8.623529411764705;8.31764705882353;8.137254901960784;8.101960784313725;8.325490196078432;9.580392156862745;11.0;6.196078431372549;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
в;0.0;0.0;0.0;0.0;128.30196078431374;0.05132078431372549;114.48627450980392;0.045794509803921565;242.78823529411767;0.024278823529411766;74.56514997334885;48.858393500347276;0.7456514997334885;0.48858393500347275;8180.562885558998;11043.219480715676;8.180562885558998e-05;0.00011043219480715675;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.588235294117647;2.168627450980392;2.7411764705882353;10.443137254901961;22.0;22.0;22.0;20.349019607843136;6.325490196078431;6.12156862745098;6.152941176470589;6.411764705882353;6.929411764705883;7.890196078431373;9.513725490196078;13.0;17.223529411764705;18.847058823529412;16.79607843137255;13.698039215686274;7.729411764705882;2.8588235294117648;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.545098039215686;15.72156862745098;10.72156862745098;9.168627450980392;8.83529411764706;8.729411764705882;8.733333333333333;8.882352941176471;9.619607843137254;12.647058823529411;14.63921568627451;11.047058823529412;9.666666666666666;9.286274509803922;9.141176470588235;9.101960784313725;9.12156862745098;9.270588235294118;9.63921568627451;11.254901960784315;16.28235294117647;15.733333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
г;0.0;0.0;0.0;0.0;110.78039215686275;0.044312156862745096;27.772549019607844;0.011109019607843138;138.5529411764706;0.01385529411764706;72.81973337861933;47.11001669921598;0.7281973337861933;0.47110016699215984;2795.2524121182255;7662.811301523241;2.7952524121182255e-05;7.662811301523241e-05;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4392156862745098;2.0588235294117645;2.2470588235294118;2.796078431372549;9.95686274509804;22.0;22.0;22.0;20.24705882352941;3.843137254901961;3.1921568627450982;3.0313725490196077;2.4235294117647057;2.0;2.023529411764706;2.070588235294118;2.196078431372549;2.4745098039215687;3.2901960784313724;5.086274509803921;3.176470588235294;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.356862745098038;16.729411764705883;7.580392156862745;6.180392156862745;5.7254901960784315;5.43921568627451;4.192156862745098;4.192156862745098;4.192156862745098;4.192156862745098;4.192156862745098;4.192156862745098;4.192156862745098;4.192156862745098;4.192156862745098;4.192156862745098;4.192156862745098;4.215686274509804;4.325490196078431;4.674509803921569;6.568627450980392;11.64313725490196;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
д;0.0;0.0;0.0;0.0;82.50588235294117;0.03300235294117647;136.16470588235293;0.054465882352941176;218.6705882352941;0.02186705882352941;73.59719158551675;51.507720449776734;0.7359719158551675;0.5150772044977674;9953.085985672044;15346.47654981291;9.953085985672043e-05;0.0001534647654981291;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4196078431372547;6.737254901960784;4.513725490196078;3.5843137254901962;3.776470588235294;5.474509803921569;6.549019607843137;8.270588235294118;13.07843137254902;13.976470588235294;6.125490196078432;4.0;4.0;4.0;4.0;4.023529411764706;4.133333333333334;12.07843137254902;22.137254901960784;22.28627450980392;22.537254901960786;19.780392156862746;5.411764705882353;5.509803921568627;7.756862745098039;2.5098039215686274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.51764705882353;16.341176470588234;6.862745098039215;6.196078431372549;5.949019607843137;5.8313725490196076;5.811764705882353;5.784313725490196;5.807843137254902;5.8;5.8352941176470585;5.8352941176470585;5.862745098039215;5.862745098039215;5.874509803921568;5.850980392156862;5.862745098039215;5.890196078431373;6.098039215686274;6.9411764705882355;20.454901960784312;24.658823529411766;10.415686274509804;6.145098039215687;4.337254901960784;3.23921568627451;2.4941176470588236;2.1098039215686275;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
е;0.0;0.0;0.0;0.0;112.71372549019608;0.04508549019607843;89.52941176470588;0.035811764705882355;202.24313725490197;0.020224313725490196;73.58510432017373;48.571531063367715;0.7358510432017372;0.4857153106336771;6502.7024388519085;10246.970498583363;6.502702438851909e-05;0.00010246970498583364;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.054901960784313725;8.050980392156863;13.368627450980393;16.36078431372549;16.88235294117647;12.231372549019607;10.443137254901961;9.552941176470588;8.898039215686275;8.549019607843137;8.321568627450981;8.31764705882353;8.486274509803922;8.843137254901961;9.623529411764705;12.031372549019608;11.654901960784313;10.670588235294117;9.529411764705882;8.0;2.372549019607843;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.776470588235294;10.39607843137255;9.074509803921568;7.784313725490196;7.529411764705882;7.588235294117647;7.815686274509804;8.105882352941176;19.12156862745098;19.415686274509802;3.5058823529411764;3.6392156862745098;3.796078431372549;3.9647058823529413;4.207843137254902;5.290196078431372;6.152941176470589;6.996078431372549;8.231372549019607;10.952941176470588;14.556862745098039;12.64313725490196;10.094117647058823;5.603921568627451;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
ё;0.0;0.0;0.0;0.0;129.6078431372549;0.05184313725490196;106.43137254901961;0.042572549019607844;236.0392156862745;0.02360392156862745;66.99607908290413;48.78537963116797;0.6699607908290414;0.4878537963116797;7308.947192452658;19749.53362613163;7.308947192452657e-05;0.0001974953362613163;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.054901960784313725;8.050980392156863;13.368627450980393;16.36078431372549;17.95294117647059;15.39607843137255;14.282352941176471;13.443137254901961;12.250980392156864;10.125490196078431;8.321568627450981;8.31764705882353;8.486274509803922;10.070588235294117;12.847058823529412;15.886274509803922;15.533333333333333;13.980392156862745;10.937254901960785;8.0;2.372549019607843;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.470588235294118;10.384313725490196;10.419607843137255;6.52156862745098;0.0;0.0;0.0;0.0;5.776470588235294;10.39607843137255;9.074509803921568;7.784313725490196;7.529411764705882;7.588235294117647;7.815686274509804;8.105882352941176;19.12156862745098;19.415686274509802;3.5058823529411764;3.6392156862745098;3.796078431372549;3.9647058823529413;4.207843137254902;5.290196078431372;6.152941176470589;6.996078431372549;8.231372549019607;10.952941176470588;14.556862745098039;12.64313725490196;10.094117647058823;5.603921568627451;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
ж;0.0;0.0;0.0;0.0;160.41176470588235;0.06416470588235294;159.52549019607844;0.06381019607843137;319.9372549019608;0.03199372549019608;74.69834771523828;49.47690723671308;0.7469834771523829;0.4947690723671308;24525.868600917518;15708.793479498096;0.0002452586860091752;0.00015708793479498096;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43529411764705883;2.815686274509804;5.650980392156863;6.921568627450981;8.066666666666666;9.196078431372548;10.447058823529412;11.56078431372549;11.623529411764705;11.07843137254902;9.011764705882353;6.411764705882353;5.447058823529412;4.443137254901961;4.474509803921569;8.827450980392157;22.0;22.0;22.0;22.0;7.933333333333334;4.458823529411765;4.533333333333333;5.482352941176471;6.592156862745098;9.219607843137254;11.239215686274509;11.72549019607843;11.556862745098039;10.290196078431373;9.08235294117647;7.988235294117647;6.858823529411764;5.568627450980392;2.607843137254902;0.38823529411764707;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.098039215686274;20.572549019607845;20.062745098039215;20.192156862745097;13.898039215686275;7.886274509803922;7.7215686274509805;7.956862745098039;8.431372549019608;10.486274509803922;14.266666666666667;13.474509803921569;13.435294117647059;13.56078431372549;13.635294117647058;13.654901960784313;13.68235294117647;13.772549019607844;14.12156862745098;15.023529411764706;19.23921568627451;25.764705882352942;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
з;0.0;0.0;0.0;0.0;51.84313725490196;0.020737254901960784;106.1686274509804;0.04246745098039216;158.01176470588234;0.015801176470588235;73.26806144987964;50.52048742957834;0.7326806144987964;0.5052048742957834;3257.1856377524828;9006.91634619549;3.2571856377524826e-05;9.00691634619549e-05;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13725490196078433;1.2156862745098038;7.5058823529411764;6.87843137254902;4.6117647058823525;3.796078431372549;3.537254901960784;4.568627450980392;5.882352941176471;6.4;7.309803921568627;8.92156862745098;11.509803921568627;16.937254901960785;20.572549019607845;18.55686274509804;15.631372549019607;10.494117647058824;3.545098039215686;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.564705882352941;12.145098039215686;10.443137254901961;8.129411764705882;7.003921568627451;6.305882352941176;5.803921568627451;5.3843137254901965;4.1568627450980395;4.247058823529412;5.262745098039216;7.403921568627451;6.301960784313725;5.176470588235294;4.905882352941177;4.827450980392157;4.811764705882353;4.807843137254902;4.823529411764706;6.023529411764706;7.207843137254902;9.250980392156864;11.513725490196078;6.509803921568627;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
и;0.0;0.0;0.0;0.0;126.72156862745098;0.05068862745098039;126.49411764705883;0.05059764705882353;253.2156862745098;0.02532156862745098;74.49485829332507;49.40944711166176;0.7449485829332506;0.49409447111661764;12437.909950046615;11738.175658640723;0.00012437909950046614;0.00011738175658640723;"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6823529411764706;2.172549019607843;2.764705882352941;9.96078431372549;22.0;22.0;22.0;20.71372549019608;6.67843137254902;5.36078431372549;4.964705882352941;3.4235294117647057;3.0;3.0;3.756862745098039;5.152941176470589;5.6117647058823525;8.427450980392157;22.0;22.0;22.0;22.0;6.537254901960784;2.5725490196078433;2.1098039215686275;1.3254901960784313;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0";"0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.070588235294117;13.015686274509804;9.239215686274509;8.572549019607843;8.866666666666667;9.749019607843136;10.666666666666666;11.117647058823529;11.12156862745098;11.117647058823529;11.12156862745098;11.12156862745098;11.12156862745098;11.117647058823529;11.117647058823529;10.658823529411764;9.749019607843136;8.882352941176471;8.635294117647058;9.36078431372549;12.79607843137255;21.99607843137255;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0"
